species,lon,lat,group
arabis,0.21642,42.96168,11
arabis,2.04698,42.61217,11
arabis,2.09426,42.45769,11
arabis,2.26335,42.61613,11
arabis,2.41522,42.53943,11
arabis,2.16758,42.63016,11
arabis,2.24833,42.78843,11
arabis,2.00212,42.6504,11
arabis,2.1803,42.65494,11
arabis,2.14969,42.44314,11
arabis,2.36018,42.60222,11
arabis,2.4928,42.93196,11
arabis,6.28722,45.83844,11
arabis,6.17032,46.13292,11
arabis,6.9983,45.42599,11
arabis,6.9546,45.43999,11
arabis,5.55553,44.26333,11
arabis,6.78062,46.10114,11
arabis,7.02313,45.42107,11
arabis,6.83937,45.45691,11
arabis,5.90826,46.22634,11
arabis,6.71451,45.7675,11
arabis,5.94057,45.16485,11
arabis,6.9971,45.4849,11
arabis,6.00558,45.17789,11
arabis,6.28297,45.84853,11
arabis,6.34903,45.93743,11
arabis,7.10466,45.36083,11
arabis,6.63265,45.8045,11
arabis,6.1893,45.71014,11
arabis,5.82061,46.24433,11
arabis,6.83717,46.10959,11
arabis,6.17412,45.20466,11
arabis,6.32701,45.41604,11
arabis,5.48189,44.24048,11
arabis,6.57396,46.00661,11
arabis,5.95259,46.27575,11
arabis,6.57041,45.99236,11
arabis,6.54611,45.23702,11
arabis,6.84354,45.54372,11
arabis,6.19051,45.6164,11
arabis,6.75951,46.01236,11
arabis,6.56603,45.12949,11
arabis,5.35185,45.06232,11
arabis,6.8245,46.10649,11
arabis,6.79564,46.12843,11
arabis,5.71718,44.7249,11
arabis,5.93483,46.25642,11
arabis,6.48828,45.89743,11
arabis,6.05599,45.75132,11
arabis,6.75187,46.2402,11
arabis,6.70828,45.75253,11
arabis,5.86998,46.14249,11
arabis,5.82115,44.77634,11
arabis,5.57194,44.68243,11
arabis,5.48924,46.05285,11
arabis,6.77637,46.17108,11
arabis,6.54132,45.30481,11
arabis,5.83655,45.68082,11
arabis,6.77445,46.32786,11
arabis,6.22568,45.95125,11
arabis,5.58156,45.24486,11
arabis,6.56768,45.1187,11
arabis,5.59128,45.23711,11
arabis,6.29348,45.81901,11
arabis,5.77072,46.19587,11
arabis,6.34008,46.00457,11
arabis,5.86019,45.06097,11
arabis,5.41638,45.91631,11
arabis,6.27117,45.69612,11
arabis,6.0017,44.9697,11
arabis,6.57853,45.16581,11
arabis,6.19558,45.63661,11
arabis,6.73453,45.75519,11
arabis,6.47748,45.90278,11
arabis,6.79597,46.10261,11
arabis,6.80986,46.10886,11
arabis,6.73417,45.96759,11
arabis,5.88756,44.87935,11
arabis,5.94034,46.26815,11
arabis,6.75737,45.5172,11
arabis,6.5019,45.98387,11
arabis,5.81106,45.38991,11
arabis,6.72843,46.35461,11
arabis,6.40993,45.07053,11
arabis,6.26592,45.83454,11
arabis,6.81913,46.22308,11
arabis,5.86793,46.22348,11
arabis,6.3073,45.84345,11
arabis,6.97187,45.9066,11
arabis,5.55922,44.16929,11
arabis,5.8002,44.70856,11
arabis,5.60066,45.06339,11
arabis,6.63053,45.30338,11
arabis,7.08572,45.29131,11
arabis,6.65634,45.2621,11
arabis,6.86094,46.11123,11
arabis,5.64253,44.68657,11
arabis,6.20336,45.60858,11
arabis,5.85506,45.30977,11
arabis,6.65231,45.32798,11
arabis,5.95339,45.16688,11
arabis,6.19776,45.69799,11
arabis,5.72568,45.7096,11
arabis,6.95211,45.32103,11
arabis,5.60142,44.46979,11
arabis,6.47657,45.08453,11
arabis,6.19658,45.73158,11
arabis,6.83815,45.52764,11
arabis,5.89742,45.1531,11
arabis,7.00539,45.43987,11
arabis,6.75394,46.38047,11
arabis,6.08655,45.74402,11
arabis,5.82848,44.68811,11
arabis,7.10049,45.29167,11
arabis,6.82698,45.51389,11
arabis,6.65323,45.31854,11
arabis,5.96287,46.28243,11
arabis,6.75913,46.35567,11
arabis,5.32381,45.00876,11
arabis,5.72403,44.68074,11
arabis,5.58844,45.07112,11
arabis,5.93696,45.05084,11
arabis,5.42384,44.84228,11
arabis,6.81172,46.31484,11
arabis,6.10086,45.28272,11
arabis,6.62433,45.31658,11
arabis,6.85737,45.5488,11
arabis,5.34895,45.77768,11
arabis,5.35279,45.86769,11
arabis,1.92141,42.83336,11
arabis,1.95289,42.75075,11
arabis,1.95861,42.74267,11
arabis,5.28278,45.734,11
arabis,5.96061,45.17757,11
arabis,5.84025,45.31585,11
arabis,5.95347,45.04261,11
arabis,5.84254,45.36085,11
arabis,6.32878,44.9419,11
arabis,5.56647,44.91707,11
arabis,5.65106,45.36554,11
arabis,5.75643,44.91252,11
arabis,6.26545,44.94378,11
arabis,6.26283,44.8988,11
arabis,6.0291,45.26584,11
arabis,6.00966,44.90595,11
arabis,6.0705,44.85923,11
arabis,5.49713,44.78354,11
arabis,5.50515,44.96351,11
arabis,5.95109,44.99762,11
arabis,6.0779,44.99418,11
arabis,5.89466,45.13425,11
arabis,5.94636,44.90765,11
arabis,6.0145,44.99592,11
arabis,6.26807,44.98876,11
arabis,6.20211,44.94562,11
arabis,5.62348,44.78062,11
arabis,5.95822,45.13258,11
arabis,5.82655,45.0459,11
arabis,6.32611,44.89692,11
arabis,5.56031,44.78209,11
arabis,5.74761,44.73257,11
arabis,6.01935,45.08589,11
arabis,5.81073,44.73098,11
arabis,5.62138,44.73563,11
arabis,6.08533,45.12914,11
arabis,5.88537,44.9543,11
arabis,6.15142,45.17235,11
arabis,5.5706,45.00706,11
arabis,5.56441,44.87208,11
arabis,6.19954,44.90064,11
arabis,6.07543,44.9492,11
arabis,6.02665,45.22086,11
arabis,5.51728,45.2335,11
arabis,5.50114,44.87352,11
arabis,5.6845,44.73411,11
arabis,5.57266,45.05206,11
arabis,5.63614,45.05057,11
